               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.039715,             0.01284,                   0,             0.61116,             0.46667,             0.65932,             0.32457,              0.0434,           0.0079661,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.039249,            0.014015,                   0,             0.57692,             0.54615,             0.63635,             0.35708,            0.037591,           0.0079391,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.035065,             0.01076,                   0,              0.5006,             0.46667,             0.51979,             0.29805,            0.035159,           0.0078008,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.035968,            0.011666,                   0,             0.61225,             0.46667,             0.64632,             0.35346,             0.03616,           0.0075409,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.039192,             0.01295,                   0,             0.55118,             0.46667,             0.60088,             0.26189,            0.037485,           0.0074444,                   0,             0.00571,             0.00571,             0.00571
                  67,             0.03806,           0.0093681,                   0,             0.56392,                 0.6,             0.66472,             0.25213,            0.043889,           0.0067616,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.039821,            0.011654,                   0,             0.64558,             0.48695,             0.63628,             0.35836,            0.035634,           0.0074276,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.034025,            0.011726,                   0,             0.65848,             0.46667,             0.65321,             0.26989,            0.039417,           0.0070104,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.035695,            0.011277,                   0,             0.53082,              0.6036,             0.68523,             0.42831,            0.032638,           0.0072857,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.033162,           0.0097668,                   0,             0.60436,             0.73333,             0.71484,             0.28934,            0.037804,           0.0070573,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.033753,            0.011008,                   0,               0.551,             0.65504,             0.67845,             0.37544,            0.037937,           0.0070144,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.035746,           0.0090941,                   0,              0.6346,             0.69567,             0.68257,              0.3288,            0.034154,           0.0069287,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.034703,            0.013523,                   0,              0.6346,             0.69567,             0.68257,              0.3288,            0.034154,           0.0069287,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.037453,            0.011407,                   0,             0.66915,             0.67463,             0.68964,             0.25075,             0.04058,           0.0065955,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.037303,           0.0099746,                   0,             0.71372,             0.66495,             0.70008,             0.27416,            0.038931,           0.0066491,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.034671,           0.0095043,                   0,             0.63777,             0.73333,             0.71889,             0.36157,            0.038646,           0.0066769,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.035238,           0.0093381,                   0,             0.67153,                 0.8,             0.76657,             0.47496,             0.03489,           0.0069242,                   0,            0.004918,            0.004918,            0.004918
                  79,             0.02974,            0.012494,                   0,             0.71353,             0.86667,             0.77374,             0.48009,             0.03235,           0.0069628,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.032011,            0.012533,                   0,             0.73015,             0.86667,              0.7748,             0.45141,            0.031675,           0.0068956,                   0,            0.004786,            0.004786,            0.004786
                  81,             0.03199,           0.0096441,                   0,             0.74909,             0.86667,             0.78177,             0.40552,            0.031505,           0.0067688,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.032081,            0.010563,                   0,             0.76246,             0.85647,             0.78887,             0.45794,            0.029765,           0.0066414,                   0,            0.004654,            0.004654,            0.004654
                  83,             0.02857,            0.010294,                   0,             0.76133,             0.85138,             0.83407,             0.39656,            0.035472,           0.0063809,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.034416,            0.010829,                   0,             0.71308,             0.86667,             0.80647,             0.48414,             0.03211,            0.006346,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.032061,           0.0091007,                   0,             0.73165,             0.86667,             0.83031,             0.48175,            0.034024,           0.0061753,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.033933,           0.0088651,                   0,             0.71617,             0.86667,             0.83557,             0.41868,            0.035429,           0.0061394,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.037105,            0.010124,                   0,              0.8019,                 0.8,              0.8564,             0.50178,            0.032972,           0.0061355,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.030667,           0.0096982,                   0,             0.75162,             0.86667,             0.86765,             0.49468,            0.033906,            0.006024,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.031329,           0.0078394,                   0,             0.84428,             0.86667,             0.89173,             0.42988,                0.03,           0.0059856,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.032605,           0.0081137,                   0,             0.84428,             0.86667,             0.89173,             0.42988,                0.03,           0.0059856,                   0,            0.004126,            0.004126,            0.004126
                  91,             0.02976,            0.009772,                   0,             0.84276,             0.86667,             0.89902,             0.35945,            0.032867,           0.0057579,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.032531,           0.0083067,                   0,             0.83775,             0.86667,             0.90906,             0.38379,            0.033438,           0.0057028,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.032373,           0.0098213,                   0,             0.82799,             0.86667,             0.90906,             0.40657,            0.034433,           0.0056853,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.031981,            0.010296,                   0,             0.81368,             0.86667,             0.91993,             0.52372,            0.030202,           0.0057769,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.029569,           0.0073566,                   0,             0.77126,             0.90008,             0.91632,             0.53328,            0.030908,           0.0057883,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.030471,           0.0097939,                   0,             0.81978,             0.93333,             0.92963,             0.54609,            0.029946,           0.0057883,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.028168,           0.0088391,                   0,              0.8099,             0.86667,             0.92261,             0.55821,            0.030065,           0.0057794,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.025375,           0.0085783,                   0,             0.81394,             0.93333,             0.93178,             0.59688,            0.026546,           0.0058059,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.026523,           0.0070561,                   0,             0.92632,             0.83934,             0.93694,              0.5709,            0.028297,           0.0057367,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.027218,           0.0087546,                   0,               0.926,                 0.8,             0.94668,             0.59071,            0.025196,           0.0057328,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.028184,            0.009075,                   0,                   1,             0.84078,             0.94912,             0.57518,            0.029111,           0.0056024,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.031596,           0.0097867,                   0,              0.9511,                 0.8,             0.94492,             0.66355,            0.024963,           0.0055754,                   0,            0.003334,            0.003334,            0.003334
                 103,             0.02765,           0.0088621,                   0,                   1,             0.84305,             0.92277,              0.5398,             0.02839,           0.0054696,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.029797,            0.010555,                   0,              0.9548,                 0.8,             0.91775,             0.62207,            0.024745,           0.0054766,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.027168,            0.010048,                   0,                   1,             0.84806,             0.91957,             0.54738,            0.025246,           0.0054262,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.026898,            0.010422,                   0,                   1,             0.84806,             0.91957,             0.54738,            0.025246,           0.0054262,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.027107,            0.009603,                   0,                   1,             0.85646,             0.91961,             0.49625,            0.028119,            0.005264,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.030459,           0.0086667,                   0,                   1,             0.85325,             0.91674,             0.46999,            0.030415,           0.0051889,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.026825,           0.0085437,                   0,                   1,             0.84319,              0.9228,             0.55788,            0.029369,           0.0051647,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.025586,           0.0089463,                   0,                   1,             0.84361,             0.92279,             0.61986,            0.027267,           0.0051526,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.025571,           0.0088547,                   0,              0.9486,                 0.8,             0.91777,             0.62329,            0.025654,           0.0051473,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.026746,           0.0083099,                   0,             0.89695,             0.86667,             0.90549,             0.61203,            0.026083,            0.005145,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.024866,           0.0082547,                   0,             0.90716,             0.86667,              0.9067,              0.6147,            0.025429,           0.0051609,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.026104,            0.010261,                   0,              0.8719,             0.90855,             0.95028,             0.61657,            0.025012,           0.0050772,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.025072,           0.0096318,                   0,             0.91573,             0.86667,             0.95028,             0.60077,            0.025566,           0.0050112,                   0,            0.002476,            0.002476,            0.002476
                 116,             0.02686,           0.0088506,                   0,             0.91853,             0.86667,             0.95028,             0.63203,            0.024932,           0.0049563,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.023151,           0.0084311,                   0,             0.93243,             0.92063,             0.95567,             0.61773,            0.025412,           0.0049124,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.023466,           0.0069393,                   0,             0.93225,             0.91811,             0.95214,             0.63304,            0.024507,           0.0049331,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.022154,           0.0074413,                   0,             0.92239,             0.93333,             0.95294,             0.62756,            0.026056,            0.004855,                   0,            0.002212,            0.002212,            0.002212
